"round","learning_rate","max_depth","mds","sb_sample","spw","auc","Fmeasure","precision","recall","fnm","x","y","n"
3,1,2,0,1,12,0.564803516991939,0.168263796746769,0.102154066471747,0.476880222841226,"dt_x_custInfo_fx_y.train60.test30.roll30-9538_ret_grid.csv","custInfo","fx","y.train60.test30.roll30-9538"
4,1,8,0,1,12,0.515692642759026,0.119320426708811,0.0924395469850015,0.168245125348189,"dt_x_custInfo_fx_y.train60.test30.roll30-9538_ret_grid.csv","custInfo","fx","y.train60.test30.roll30-9538"
1,1,2,0,0.5,12,0.587793947597031,0.180059785475646,0.106900511535651,0.570473537604457,"dt_x_custInfo_fx_y.train90.test30.roll30_ret_grid.csv","custInfo","fx","y.train90.test30.roll30"
2,1,8,0,0.5,12,0.528820755441732,0.143209586466165,0.0907399136519279,0.339554317548747,"dt_x_custInfo_fx_y.train90.test30.roll30_ret_grid.csv","custInfo","fx","y.train90.test30.roll30"
3,1,2,0,1,12,0.564803516991939,0.168263796746769,0.102154066471747,0.476880222841226,"dt_x_custInfo_fx_y.train90.test30.roll30_ret_grid.csv","custInfo","fx","y.train90.test30.roll30"
4,1,8,0,1,12,0.515692642759026,0.119320426708811,0.0924395469850015,0.168245125348189,"dt_x_custInfo_fx_y.train90.test30.roll30_ret_grid.csv","custInfo","fx","y.train90.test30.roll30"
1,1,2,0,0.5,81,0.599501598539715,0.0351398986560916,0.0181270598931697,0.57168458781362,"dt_x_custInfo_ln_y.train30.test30.roll30_ret_grid.csv","custInfo","ln","y.train30.test30.roll30"
2,1,8,0,0.5,81,0.576930825393203,0.0332346365339295,0.0171971734100431,0.492831541218638,"dt_x_custInfo_ln_y.train30.test30.roll30_ret_grid.csv","custInfo","ln","y.train30.test30.roll30"
3,1,2,0,1,81,0.551648997538258,0.0328727535446582,0.0173086067522587,0.326164874551971,"dt_x_custInfo_ln_y.train30.test30.roll30_ret_grid.csv","custInfo","ln","y.train30.test30.roll30"
4,1,8,0,1,81,0.513475957276208,0.0331997710360618,0.024390243902439,0.0519713261648745,"dt_x_custInfo_ln_y.train30.test30.roll30_ret_grid.csv","custInfo","ln","y.train30.test30.roll30"
1,1,2,0,0.5,361,0.578961241099881,0.0079288168443309,0.00398918487655689,0.638297872340426,"dt_x_custInfo_ln_y.train60.test30.roll30-9508_ret_grid.csv","custInfo","ln","y.train60.test30.roll30-9508"
2,1,8,0,0.5,361,0.565171874151909,0.00907534246575342,0.00459311898778057,0.375886524822695,"dt_x_custInfo_ln_y.train60.test30.roll30-9508_ret_grid.csv","custInfo","ln","y.train60.test30.roll30-9508"
3,1,2,0,1,361,0.562141793029335,0.00871011164779476,0.00440422805893658,0.390070921985816,"dt_x_custInfo_ln_y.train60.test30.roll30-9508_ret_grid.csv","custInfo","ln","y.train60.test30.roll30-9508"
4,1,8,0,1,361,0.504216915328749,0.00970873786407767,0.00738007380073801,0.0141843971631206,"dt_x_custInfo_ln_y.train60.test30.roll30-9508_ret_grid.csv","custInfo","ln","y.train60.test30.roll30-9508"
1,1,2,0,0.5,125,0.61060541996104,0.0231579899588403,0.0117787797920309,0.682666666666667,"dt_x_custInfo_ln_y.train60.test30.roll30-9538_ret_grid.csv","custInfo","ln","y.train60.test30.roll30-9538"
2,1,8,0,0.5,125,0.612862782170276,0.0263376590168126,0.0134922714173435,0.549333333333333,"dt_x_custInfo_ln_y.train60.test30.roll30-9538_ret_grid.csv","custInfo","ln","y.train60.test30.roll30-9538"
3,1,2,0,1,125,0.560288501203163,0.023663211960011,0.0122530395136778,0.344,"dt_x_custInfo_ln_y.train60.test30.roll30-9538_ret_grid.csv","custInfo","ln","y.train60.test30.roll30-9538"
4,1,8,0,1,125,0.515438209006531,0.0302521008403361,0.0220858895705521,0.048,"dt_x_custInfo_ln_y.train60.test30.roll30-9538_ret_grid.csv","custInfo","ln","y.train60.test30.roll30-9538"
1,1,2,0,0.5,125,0.61060541996104,0.0231579899588403,0.0117787797920309,0.682666666666667,"dt_x_custInfo_ln_y.train90.test30.roll30_ret_grid.csv","custInfo","ln","y.train90.test30.roll30"
2,1,8,0,0.5,125,0.612862782170276,0.0263376590168126,0.0134922714173435,0.549333333333333,"dt_x_custInfo_ln_y.train90.test30.roll30_ret_grid.csv","custInfo","ln","y.train90.test30.roll30"
3,1,2,0,1,125,0.560288501203163,0.023663211960011,0.0122530395136778,0.344,"dt_x_custInfo_ln_y.train90.test30.roll30_ret_grid.csv","custInfo","ln","y.train90.test30.roll30"
4,1,8,0,1,125,0.515438209006531,0.0302521008403361,0.0220858895705521,0.048,"dt_x_custInfo_ln_y.train90.test30.roll30_ret_grid.csv","custInfo","ln","y.train90.test30.roll30"
1,1,2,0,0.5,21,0.736648219821037,0.232426303854875,0.140755272192251,0.66651184393869,"dt_x_custInfo_wm_y.train30.test30.roll30_ret_grid.csv","custInfo","wm","y.train30.test30.roll30"
2,1,8,0,0.5,21,0.722096017123343,0.208465761340653,0.123428278162689,0.670227589410125,"dt_x_custInfo_wm_y.train30.test30.roll30_ret_grid.csv","custInfo","wm","y.train30.test30.roll30"
3,1,2,0,1,21,0.743122525002225,0.226230740323187,0.134953371592539,0.699024616813748,"dt_x_custInfo_wm_y.train30.test30.roll30_ret_grid.csv","custInfo","wm","y.train30.test30.roll30"
4,1,8,0,1,21,0.720237458001629,0.386872020535387,0.319600121175401,0.490013934045518,"dt_x_custInfo_wm_y.train30.test30.roll30_ret_grid.csv","custInfo","wm","y.train30.test30.roll30"
1,1,2,0,0.5,70,0.734824297526486,0.0841643033574239,0.0448517940717629,0.681481481481481,"dt_x_custInfo_wm_y.train60.test30.roll30-9508_ret_grid.csv","custInfo","wm","y.train60.test30.roll30-9508"
